pizza_id,order_id,id_final_pizza,quantity
1,1,1.2,1
2,2,2.2,1
3,2,3.3,1
4,2,4.3,1
5,2,5.2,1
6,2,6.3,1
7,3,4.2,1
8,3,7.3,1
9,4,4.2,1
10,5,4.2,1
11,6,8.1,1
12,6,9.1,1
13,7,10.1,1
14,8,10.1,1
15,9,2.1,1
16,9,11.1,1
17,9,12.3,1
18,9,4.3,1
19,9,4.1,1
20,9,5.1,1
21,9,13.3,1
22,9,14.3,1
23,9,15.1,1
24,10,5.3,1
25,10,16.3,1
26,11,8.3,1
27,11,17.3,1
28,11,17.2,1
29,11,18.3,1
30,12,17.3,1
31,12,17.1,1
32,12,19.3,1
33,12,4.2,1
34,13,5.3,1
35,14,9.1,1
36,15,20.1,1
37,15,3.3,1
38,15,21.3,1
39,15,9.1,1
40,16,22.3,1
41,16,23.1,1
42,16,6.3,1
43,17,8.3,1
44,17,24.2,1
45,17,3.3,1
46,17,22.2,1
47,17,4.2,1
48,17,25.1,1
49,17,26.2,2
50,17,5.3,1
51,17,27.1,1
52,17,28.3,1
53,18,23.3,1
54,19,12.3,1
55,19,29.3,1
56,20,20.1,1
57,20,3.3,1
58,21,12.3,1
59,22,3.3,1
60,22,12.2,1
61,22,16.3,1
62,23,16.1,1
63,24,8.2,1
64,24,12.2,1
65,24,18.2,1
66,24,7.1,1
67,25,29.2,1
68,25,6.3,1
69,26,2.1,1
70,26,15.3,1
71,27,8.3,1
72,27,2.2,1
73,27,28.3,1
74,28,30.1,1
75,29,11.1,1
76,30,6.3,1
77,31,5.2,1
78,31,18.1,1
79,32,20.1,1
80,32,11.3,1
81,32,12.3,1
82,32,4.2,1
83,33,8.3,1
84,33,11.1,1
85,34,9.1,1
86,35,11.2,1
87,35,31.3,1
88,35,18.2,1
89,35,6.3,1
90,36,8.2,1
91,36,2.2,1
92,37,4.3,1
93,37,5.3,1
94,38,1.1,1
95,38,12.3,1
96,39,4.3,1
97,40,22.3,1
98,40,16.1,1
99,41,22.2,1
100,41,11.1,1
101,42,20.1,1
102,42,3.3,1
103,42,5.3,1
104,42,27.2,1
105,43,30.2,1
106,43,4.2,1
107,43,27.3,1
108,44,14.1,1
109,45,22.3,1
110,45,1.1,1
111,45,6.2,1
112,46,19.3,1
113,46,2.3,1
114,46,6.2,1
115,47,16.3,1
116,47,15.1,1
117,48,19.2,1
118,48,11.1,1
119,48,7.3,1
120,48,13.3,1
121,49,29.3,1
122,50,9.4,1
123,51,8.3,1
124,51,31.3,1
125,52,1.3,1
126,52,5.3,1
127,52,13.3,1
128,53,31.1,1
129,53,10.2,1
130,54,7.2,1
131,54,6.3,1
