order_id,order_date,order_time,total_price
1,2015-01-01,11:38:36,13.25
2,2015-01-01,11:57:40,92.0
3,2015-01-01,12:12:28,37.25
4,2015-01-01,12:16:31,16.5
5,2015-01-01,12:21:30,16.5
6,2015-01-01,12:29:36,24.75
7,2015-01-01,12:50:37,12.5
8,2015-01-01,12:51:37,12.5
9,2015-01-01,12:52:01,143.25
10,2015-01-01,13:00:15,41.0
11,2015-01-01,13:02:59,73.5
12,2015-01-01,13:04:41,70.75
13,2015-01-01,13:11:55,20.25
14,2015-01-01,13:14:19,12.0
15,2015-01-01,13:33:00,63.25
16,2015-01-01,13:34:07,50.7
17,2015-01-01,13:53:00,184.5
18,2015-01-01,13:57:08,20.5
19,2015-01-01,13:59:09,40.75
20,2015-01-01,14:03:08,30.5
21,2015-01-01,14:14:29,20.5
22,2015-01-01,14:16:26,55.25
23,2015-01-01,14:19:03,12.75
24,2015-01-01,14:23:01,57.75
25,2015-01-01,14:44:44,37.0
26,2015-01-01,14:54:26,32.25
27,2015-01-01,15:11:17,57.0
28,2015-01-01,15:35:46,12.75
29,2015-01-01,15:41:01,12.0
30,2015-01-01,15:41:25,20.75
31,2015-01-01,15:50:18,25.75
32,2015-01-01,15:53:18,69.25
33,2015-01-01,15:54:08,32.75
34,2015-01-01,16:21:21,12.0
35,2015-01-01,16:32:04,66.75
36,2015-01-01,16:54:09,32.75
37,2015-01-01,16:56:09,41.0
38,2015-01-01,17:03:00,31.0
39,2015-01-01,17:07:23,20.75
40,2015-01-01,17:14:36,30.7
41,2015-01-01,17:15:20,26.75
42,2015-01-01,17:28:09,67.25
43,2015-01-01,17:38:34,54.0
44,2015-01-01,17:54:20,12.5
45,2015-01-01,17:55:48,45.2
46,2015-01-01,18:25:51,58.0
47,2015-01-01,18:26:34,32.75
48,2015-01-01,18:26:42,70.25
49,2015-01-01,18:33:00,20.25
50,2015-01-01,18:41:01,25.5
51,2015-01-01,18:48:28,38.25
52,2015-01-01,18:53:02,57.5
53,2015-01-01,18:54:17,27.5
54,2015-01-01,19:01:45,37.25
55,2015-01-01,19:03:19,33.25
56,2015-01-01,19:07:00,53.0
57,2015-01-01,19:10:51,16.0
58,2015-01-01,19:30:40,31.0
59,2015-01-01,19:40:08,39.0
60,2015-01-01,20:05:16,35.5
61,2015-01-01,20:08:43,37.5
62,2015-01-01,20:50:16,33.25
63,2015-01-01,20:51:42,14.5
64,2015-01-01,20:52:08,12.0
65,2015-01-01,21:16:00,52.25
66,2015-01-01,21:47:55,32.0
67,2015-01-01,22:03:40,20.75
68,2015-01-01,22:07:32,53.25
69,2015-01-01,22:12:13,20.75
70,2015-02-01,11:38:51,33.5
71,2015-02-01,11:40:50,20.75
72,2015-02-01,11:57:25,20.25
